Asset IP Address,Asset Names,Service Protocol,Service Port,Vulnerability Severity Level,Vulnerability Title,Vulnerability Description,Vulnerability Solution,Vulnerability Proof,Vulnerability CVE IDs,Vulnerability CVSS Score,Vulnerability Reference URLs,Exploit URLs,Asset OS Family,Asset OS Name,Asset OS Version,,,Vulnerability CVE IDs
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,OpenSSL vulnerability (CVE-2023-0215),"The public API function BIO_new_NDEF is a helper function used for streaming ASN.1 data via a BIO. It is primarily used internally to OpenSSL to support the SMIME, CMS and PKCS7 streaming capabilities, but may also be called directly by end user applications. The function receives a BIO from the caller, prepends a new BIO_f_asn1 filter BIO onto the front of it to form a BIO chain, and then returns the new head of the BIO chain to the caller. Under certain conditions, for example if a CMS recipient public key is invalid, the new filter BIO is freed and the function returns a NULL result indicating a failure. However, in this case, the BIO chain is not properly cleaned up and the BIO passed by the caller still retains internal pointers to the previously freed filter BIO. If the caller then goes on to call BIO_pop() on the BIO then a use-after-free will occur. This will most likely result in a crash. This scenario occurs directly in the internal function B64_write_ASN1() which may cause BIO_new_NDEF() to be called and will subsequently call BIO_pop() on the BIO. This internal function is in turn called by the public API functions PEM_write_bio_ASN1_stream, PEM_write_bio_CMS_stream, PEM_write_bio_PKCS7_stream, SMIME_write_ASN1, SMIME_write_CMS and SMIME_write_PKCS7. Other public API functions that may be impacted by this include i2d_ASN1_bio_stream, BIO_new_CMS, BIO_new_PKCS7, i2d_CMS_bio_stream and i2d_PKCS7_bio_stream. The OpenSSL cms and smime command line applications are similarly affected.","* Upgrade to OpenSSL version 1.0.2zg
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.0.2zg.tar.gz 

      
      Upgrade to version 1.0.2zg of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.0.2zg.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 1.1.1t
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz 

      
      Upgrade to version 1.1.1t of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 3.0.8
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-3.0.8.tar.gz 

      
      Upgrade to version 3.0.8 of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-3.0.8.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.","* Running HTTP service

 * Vulnerable version of component OpenSSL found -- OpenSSL 1.1.1k",CVE-2023-0215,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2021-36160
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,443,4,OpenSSL vulnerability (CVE-2022-4450),"The function PEM_read_bio_ex() reads a PEM file from a BIO and parses and decodes the ""name"" (e.g. ""CERTIFICATE""), any header data and the payload data. If the function succeeds then the ""name_out"", ""header"" and ""data"" arguments are populated with pointers to buffers containing the relevant decoded data. The caller is responsible for freeing those buffers. It is possible to construct a PEM file that results in 0 bytes of payload data. In this case PEM_read_bio_ex() will return a failure code but will populate the header argument with a pointer to a buffer that has already been freed. If the caller also frees this buffer then a double free will occur. This will most likely lead to a crash. This could be exploited by an attacker who has the ability to supply malicious PEM files for parsing to achieve a denial of service attack. The functions PEM_read_bio() and PEM_read() are simple wrappers around PEM_read_bio_ex() and therefore these functions are also directly affected. These functions are also called indirectly by a number of other OpenSSL functions including PEM_X509_INFO_read_bio_ex() and SSL_CTX_use_serverinfo_file() which are also vulnerable. Some OpenSSL internal uses of these functions are not vulnerable because the caller does not free the header argument if PEM_read_bio_ex() returns a failure code. These locations include the PEM_read_bio_TYPE() functions as well as the decoders introduced in OpenSSL 3.0. The OpenSSL asn1parse command line application is also impacted by this issue.","* Upgrade to OpenSSL version 1.1.1t
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz 

      
      Upgrade to version 1.1.1t of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 3.0.8
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-3.0.8.tar.gz 

      
      Upgrade to version 3.0.8 of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-3.0.8.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.","* Running HTTPS service

 * Vulnerable version of component OpenSSL found -- OpenSSL 1.1.1k",CVE-2022-4450,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2021-34798
10.20.32.72,ip-10-20-32-72.ap-southeast-1.compute.internal,tcp,22,1,SSH Server Supports 3DES Cipher Suite,"Since 3DES (Triple Data Encryption Standard) only provides an effective security of 112 bits, it is considered close to end of life by some agencies. ECRYPT II (from 2012) recommends for generic application independent long-term protection of at least 128 bits security. The same recommendation has also been reported by BSI Germany (from 2015) and ANSSI France (from 2014), 128 bit is the recommended symmetric size and should be mandatory after 2020. While NIST (from 2012) still considers 3DES being appropriate to use until the end of 2030.","Disable SSH support for 3DES cipher suite


Remove all 3DES ciphers from the cipher list specified in sshd_config.","* Running SSH service

 * Insecure 3DES ciphers in use: 3des-cbc",,0,,,Linux Linux,Linux LINUX ,4.4,,,CVE-2021-33193
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,OpenSSL vulnerability (CVE-2022-4450),"The function PEM_read_bio_ex() reads a PEM file from a BIO and parses and decodes the ""name"" (e.g. ""CERTIFICATE""), any header data and the payload data. If the function succeeds then the ""name_out"", ""header"" and ""data"" arguments are populated with pointers to buffers containing the relevant decoded data. The caller is responsible for freeing those buffers. It is possible to construct a PEM file that results in 0 bytes of payload data. In this case PEM_read_bio_ex() will return a failure code but will populate the header argument with a pointer to a buffer that has already been freed. If the caller also frees this buffer then a double free will occur. This will most likely lead to a crash. This could be exploited by an attacker who has the ability to supply malicious PEM files for parsing to achieve a denial of service attack. The functions PEM_read_bio() and PEM_read() are simple wrappers around PEM_read_bio_ex() and therefore these functions are also directly affected. These functions are also called indirectly by a number of other OpenSSL functions including PEM_X509_INFO_read_bio_ex() and SSL_CTX_use_serverinfo_file() which are also vulnerable. Some OpenSSL internal uses of these functions are not vulnerable because the caller does not free the header argument if PEM_read_bio_ex() returns a failure code. These locations include the PEM_read_bio_TYPE() functions as well as the decoders introduced in OpenSSL 3.0. The OpenSSL asn1parse command line application is also impacted by this issue.","* Upgrade to OpenSSL version 1.1.1t
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz 

      
      Upgrade to version 1.1.1t of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 3.0.8
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-3.0.8.tar.gz 

      
      Upgrade to version 3.0.8 of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-3.0.8.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.","* Running HTTP service

 * Vulnerable version of component OpenSSL found -- OpenSSL 1.1.1k",CVE-2022-4450,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2021-26691
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,443,4,OpenSSL vulnerability (CVE-2022-4304),"A timing based side channel exists in the OpenSSL RSA Decryption implementation which could be sufficient to recover a plaintext across a network in a Bleichenbacher style attack. To achieve a successful decryption an attacker would have to be able to send a very large number of trial messages for decryption. The vulnerability affects all RSA padding modes: PKCS#1 v1.5, RSA-OEAP and RSASVE. For example, in a TLS connection, RSA is commonly used by a client to send an encrypted pre-master secret to the server. An attacker that had observed a genuine connection between a client and a server could use this flaw to send trial messages to the server and record the time taken to process them. After a sufficiently large number of messages the attacker could recover the pre-master secret used for the original connection and thus be able to decrypt the application data sent over that connection.","* Upgrade to OpenSSL version 1.0.2zg
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.0.2zg.tar.gz 

      
      Upgrade to version 1.0.2zg of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.0.2zg.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 1.1.1t
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz 

      
      Upgrade to version 1.1.1t of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 3.0.8
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-3.0.8.tar.gz 

      
      Upgrade to version 3.0.8 of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-3.0.8.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.","* Running HTTPS service

 * Vulnerable version of component OpenSSL found -- OpenSSL 1.1.1k",CVE-2022-4304,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2021-26690
10.35.10.10,ip-10-35-10-10.ap-southeast-1.compute.internal,tcp,22,4,SSH Weak Message Authentication Code Algorithms,The SSH server supports cryptographically weak Hash-based message authentication codes (HMACs) including MD5 or 96-bit Hash-based algorithms.,"Disable any MD5 or 96-bit HMAC algorithms within the SSH configuration

Consult the product documentation for instructions to disable any insecure MD5 or 96-bit HMAC algorithms within the SSH configuration.","* Running SSH service

 * Insecure MAC algorithms in use: hmac-sha1-etm@openssh.com,hmac-sha1",,4,,,Linux Linux,Linux LINUX ,4.4,,,CVE-2020-9490
10.30.48.4,ip-10-30-48-4.ap-southeast-1.compute.internal,ip,0,5,Apache Tomcat: Low: Session fixation (CVE-2019-17563),"When using FORM authentication with Apache Tomcat 9.0.0.M1 to 9.0.29, 8.5.0 to 8.5.49 and 7.0.0 to 7.0.98 there was a narrow window where an attacker could perform a session fixation attack. The window was considered too narrow for an exploit to be practical but, erring on the side of caution, this issue has been treated as a security vulnerability.","* Apache Tomcat >= 7.0 and < 7.0.99
      Upgrade to Apache Tomcat version 7.0.99

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-7/v7.0.99/ 


 * Apache Tomcat >= 8.5 and < 8.5.50
      Upgrade to Apache Tomcat version 8.5.50

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-8/v8.5.50/ 


 * Apache Tomcat >= 9.0 and < 9.0.30
      Upgrade to Apache Tomcat version 9.0.30

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-9/v9.0.30/",Vulnerable software installed: Apache Tomcat 9.0.12,CVE-2019-17563,5.1,"https://security-tracker.debian.org/tracker/DSA-4596,https://security-tracker.debian.org/tracker/DSA-4680",,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2020-1934
10.10.22.230,ip-10-10-22-230.ap-southeast-1.compute.internal,ip,0,1,TCP timestamp response,"The remote host responded with a TCP timestamp. The TCP timestamp response can be used to approximate the remote host's uptime, potentially aiding in further attacks. Additionally, some operating systems can be fingerprinted based on the behavior of their TCP timestamps.","* Cisco
      Disable TCP timestamp responses on Cisco

      
       Run the following command to disable TCP timestamps: 

       no ip tcp timestamp 



 * FreeBSD
      Disable TCP timestamp responses on FreeBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Linux
      Disable TCP timestamp responses on Linux

      
       Set the value of net.ipv4.tcp_timestamps to 0 by running the following command: 

       sysctl -w net.ipv4.tcp_timestamps=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.ipv4.tcp_timestamps=0 



 * OpenBSD
      Disable TCP timestamp responses on OpenBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Microsoft Windows NT, Microsoft Windows NT Workstation, Microsoft Windows NT Server, Microsoft Windows NT Advanced Server, Microsoft Windows NT Server, Enterprise Edition, Microsoft Windows NT Server, Terminal Server Edition, Microsoft Windows 95, Microsoft Windows 98, Microsoft Windows 98SE, Microsoft Windows ME, Microsoft Windows 2000, Microsoft Windows 2000 Professional, Microsoft Windows 2000 Server, Microsoft Windows 2000 Advanced Server, Microsoft Windows 2000 Datacenter Server, Microsoft Windows XP, Microsoft Windows XP Home, Microsoft Windows XP Professional, Microsoft Windows XP Tablet PC Edition, Microsoft Windows CE, Microsoft Windows Server 2003, Microsoft Windows Server 2003, Standard Edition, Microsoft Windows Server 2003, Enterprise Edition, Microsoft Windows Server 2003, Datacenter Edition, Microsoft Windows Server 2003, Web Edition, Microsoft Windows Small Business Server 2003, Microsoft Windows Server 2003 R2, Microsoft Windows Server 2003 R2, Standard Edition, Microsoft Windows Server 2003 R2, Enterprise Edition, Microsoft Windows Server 2003 R2, Datacenter Edition, Microsoft Windows Server 2003 R2, Web Edition, Microsoft Windows Small Business Server 2003 R2, Microsoft Windows Server 2003 R2, Express Edition, Microsoft Windows Server 2003 R2, Workgroup Edition
      Disable TCP timestamp responses on Windows versions before Vista

      
       Set the Tcp1323Opts value in the following key to 1: 

       HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters 



 * Microsoft Windows Server 2008, Microsoft Windows Server 2008 Standard Edition, Microsoft Windows Server 2008 Enterprise Edition, Microsoft Windows Server 2008 Datacenter Edition, Microsoft Windows Server 2008 HPC Edition, Microsoft Windows Server 2008 Web Edition, Microsoft Windows Server 2008 Storage Edition, Microsoft Windows Small Business Server 2008, Microsoft Windows Essential Business Server 2008, Microsoft Windows Server 2008 R2, Microsoft Windows Server 2008 R2, Standard Edition, Microsoft Windows Server 2008 R2, Enterprise Edition, Microsoft Windows Server 2008 R2, Datacenter Edition, Microsoft Windows Server 2008 R2, Web Edition, Microsoft Windows Server 2012, Microsoft Windows Server 2012 Standard Edition, Microsoft Windows Server 2012 Foundation Edition, Microsoft Windows Server 2012 Essentials Edition, Microsoft Windows Server 2012 Datacenter Edition, Microsoft Windows Storage Server 2012, Microsoft Windows Vista, Microsoft Windows Vista Home, Basic Edition, Microsoft Windows Vista Home, Basic N Edition, Microsoft Windows Vista Home, Premium Edition, Microsoft Windows Vista Ultimate Edition, Microsoft Windows Vista Enterprise Edition, Microsoft Windows Vista Business Edition, Microsoft Windows Vista Business N Edition, Microsoft Windows Vista Starter Edition, Microsoft Windows 7, Microsoft Windows 7 Home, Basic Edition, Microsoft Windows 7 Home, Basic N Edition, Microsoft Windows 7 Home, Premium Edition, Microsoft Windows 7 Home, Premium N Edition, Microsoft Windows 7 Ultimate Edition, Microsoft Windows 7 Ultimate N Edition, Microsoft Windows 7 Enterprise Edition, Microsoft Windows 7 Enterprise N Edition, Microsoft Windows 7 Professional Edition, Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter N Edition, Microsoft Windows 8, Microsoft Windows 8 Enterprise Edition, Microsoft Windows 8 Professional Edition, Microsoft Windows 8 RT, Microsoft Windows Longhorn Server Beta
      Disable TCP timestamp responses on Windows versions since Vista

      
       TCP timestamps cannot be reliably disabled on this OS. If TCP timestamps present enough of a risk, put a firewall capable of blocking TCP timestamp packets in front of the affected assets.",Able to determine system boot time.,,0,,,Linux Linux,Linux LINUX ,4,,,CVE-2020-1927
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,OpenSSL vulnerability (CVE-2022-4304),"A timing based side channel exists in the OpenSSL RSA Decryption implementation which could be sufficient to recover a plaintext across a network in a Bleichenbacher style attack. To achieve a successful decryption an attacker would have to be able to send a very large number of trial messages for decryption. The vulnerability affects all RSA padding modes: PKCS#1 v1.5, RSA-OEAP and RSASVE. For example, in a TLS connection, RSA is commonly used by a client to send an encrypted pre-master secret to the server. An attacker that had observed a genuine connection between a client and a server could use this flaw to send trial messages to the server and record the time taken to process them. After a sufficiently large number of messages the attacker could recover the pre-master secret used for the original connection and thus be able to decrypt the application data sent over that connection.","* Upgrade to OpenSSL version 1.0.2zg
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.0.2zg.tar.gz 

      
      Upgrade to version 1.0.2zg of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.0.2zg.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 1.1.1t
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz 

      
      Upgrade to version 1.1.1t of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-1.1.1t.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.



 * Upgrade to OpenSSL version 3.0.8
      Download and apply the upgrade from:  http://ftp.openssl.org/source/openssl-3.0.8.tar.gz 

      
      Upgrade to version 3.0.8 of  OpenSSL (http://www.openssl.org) . The source code for this release can be downloaded from  OpenSSL's website (http://ftp.openssl.org/source/openssl-3.0.8.tar.gz) . To obtain binaries for your platform, please visit your vendor's site. Please note that many operating system vendors choose to apply the most recent OpenSSL security patches to their distributions without changing the package version to the most recent OpenSSL version number.","* Running HTTP service

 * Vulnerable version of component OpenSSL found -- OpenSSL 1.1.1k",CVE-2022-4304,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2020-11993
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,Apache: CVE-2022-37436: Apache HTTP Server: mod_proxy prior to 2.4.55 allows a backend to trigger HTTP response splitting,"Prior to Apache HTTP Server 2.4.55, a malicious backend can cause the response headers to be truncated early, resulting in some headers being incorporated into the response body. If the later headers have any security purpose, they will not be interpreted by the client.","Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTP service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2022-37436,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2019-17567
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,443,4,Apache: CVE-2022-37436: Apache HTTP Server: mod_proxy prior to 2.4.55 allows a backend to trigger HTTP response splitting,"Prior to Apache HTTP Server 2.4.55, a malicious backend can cause the response headers to be truncated early, resulting in some headers being incorporated into the response body. If the later headers have any security purpose, they will not be interpreted by the client.","Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTPS service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2022-37436,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2019-10098
10.20.22.92,ip-10-20-22-92.ap-southeast-1.compute.internal,tcp,22,1,SSH Server Supports 3DES Cipher Suite,"Since 3DES (Triple Data Encryption Standard) only provides an effective security of 112 bits, it is considered close to end of life by some agencies. ECRYPT II (from 2012) recommends for generic application independent long-term protection of at least 128 bits security. The same recommendation has also been reported by BSI Germany (from 2015) and ANSSI France (from 2014), 128 bit is the recommended symmetric size and should be mandatory after 2020. While NIST (from 2012) still considers 3DES being appropriate to use until the end of 2030.","Disable SSH support for 3DES cipher suite


Remove all 3DES ciphers from the cipher list specified in sshd_config.","* Running SSH service

 * Insecure 3DES ciphers in use: 3des-cbc",,0,,,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2019-10092
10.19.44.8,ip-10-19-44-8.ap-southeast-1.compute.internal,ip,0,1,TCP timestamp response,"The remote host responded with a TCP timestamp. The TCP timestamp response can be used to approximate the remote host's uptime, potentially aiding in further attacks. Additionally, some operating systems can be fingerprinted based on the behavior of their TCP timestamps.","* Cisco
      Disable TCP timestamp responses on Cisco

      
       Run the following command to disable TCP timestamps: 

       no ip tcp timestamp 



 * FreeBSD
      Disable TCP timestamp responses on FreeBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Linux
      Disable TCP timestamp responses on Linux

      
       Set the value of net.ipv4.tcp_timestamps to 0 by running the following command: 

       sysctl -w net.ipv4.tcp_timestamps=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.ipv4.tcp_timestamps=0 



 * OpenBSD
      Disable TCP timestamp responses on OpenBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Microsoft Windows NT, Microsoft Windows NT Workstation, Microsoft Windows NT Server, Microsoft Windows NT Advanced Server, Microsoft Windows NT Server, Enterprise Edition, Microsoft Windows NT Server, Terminal Server Edition, Microsoft Windows 95, Microsoft Windows 98, Microsoft Windows 98SE, Microsoft Windows ME, Microsoft Windows 2000, Microsoft Windows 2000 Professional, Microsoft Windows 2000 Server, Microsoft Windows 2000 Advanced Server, Microsoft Windows 2000 Datacenter Server, Microsoft Windows XP, Microsoft Windows XP Home, Microsoft Windows XP Professional, Microsoft Windows XP Tablet PC Edition, Microsoft Windows CE, Microsoft Windows Server 2003, Microsoft Windows Server 2003, Standard Edition, Microsoft Windows Server 2003, Enterprise Edition, Microsoft Windows Server 2003, Datacenter Edition, Microsoft Windows Server 2003, Web Edition, Microsoft Windows Small Business Server 2003, Microsoft Windows Server 2003 R2, Microsoft Windows Server 2003 R2, Standard Edition, Microsoft Windows Server 2003 R2, Enterprise Edition, Microsoft Windows Server 2003 R2, Datacenter Edition, Microsoft Windows Server 2003 R2, Web Edition, Microsoft Windows Small Business Server 2003 R2, Microsoft Windows Server 2003 R2, Express Edition, Microsoft Windows Server 2003 R2, Workgroup Edition
      Disable TCP timestamp responses on Windows versions before Vista

      
       Set the Tcp1323Opts value in the following key to 1: 

       HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters 



 * Microsoft Windows Server 2008, Microsoft Windows Server 2008 Standard Edition, Microsoft Windows Server 2008 Enterprise Edition, Microsoft Windows Server 2008 Datacenter Edition, Microsoft Windows Server 2008 HPC Edition, Microsoft Windows Server 2008 Web Edition, Microsoft Windows Server 2008 Storage Edition, Microsoft Windows Small Business Server 2008, Microsoft Windows Essential Business Server 2008, Microsoft Windows Server 2008 R2, Microsoft Windows Server 2008 R2, Standard Edition, Microsoft Windows Server 2008 R2, Enterprise Edition, Microsoft Windows Server 2008 R2, Datacenter Edition, Microsoft Windows Server 2008 R2, Web Edition, Microsoft Windows Server 2012, Microsoft Windows Server 2012 Standard Edition, Microsoft Windows Server 2012 Foundation Edition, Microsoft Windows Server 2012 Essentials Edition, Microsoft Windows Server 2012 Datacenter Edition, Microsoft Windows Storage Server 2012, Microsoft Windows Vista, Microsoft Windows Vista Home, Basic Edition, Microsoft Windows Vista Home, Basic N Edition, Microsoft Windows Vista Home, Premium Edition, Microsoft Windows Vista Ultimate Edition, Microsoft Windows Vista Enterprise Edition, Microsoft Windows Vista Business Edition, Microsoft Windows Vista Business N Edition, Microsoft Windows Vista Starter Edition, Microsoft Windows 7, Microsoft Windows 7 Home, Basic Edition, Microsoft Windows 7 Home, Basic N Edition, Microsoft Windows 7 Home, Premium Edition, Microsoft Windows 7 Home, Premium N Edition, Microsoft Windows 7 Ultimate Edition, Microsoft Windows 7 Ultimate N Edition, Microsoft Windows 7 Enterprise Edition, Microsoft Windows 7 Enterprise N Edition, Microsoft Windows 7 Professional Edition, Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter N Edition, Microsoft Windows 8, Microsoft Windows 8 Enterprise Edition, Microsoft Windows 8 Professional Edition, Microsoft Windows 8 RT, Microsoft Windows Longhorn Server Beta
      Disable TCP timestamp responses on Windows versions since Vista

      
       TCP timestamps cannot be reliably disabled on this OS. If TCP timestamps present enough of a risk, put a firewall capable of blocking TCP timestamp packets in front of the affected assets.",Able to determine system boot time.,,0,,,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2019-10082
10.35.3.5,ip-10-35-3-5.ap-southeast-1.compute.internal,tcp,22,4,SSH Server Supports Weak Key Exchange Algorithms,The server supports one or more weak key exchange algorithms. It is highly adviseable to remove weak key exchange algorithm support from SSH configuration files on hosts to prevent them from being used to establish connections.,"Disable weak Key Exchange Algorithms


Refer to  this guide (https://wiki.mozilla.org/Security/Guidelines/OpenSSH)  on what KEX algorithms to permit in your SSH configuration.","* Running SSH service

 * Insecure key exchange algorithms in use: diffie-hellman-group-exchange-sha1",,4.3,,,Linux Linux,Linux LINUX ,4.4,,,CVE-2019-10081
